option_code,trade_date,close,volume,amount,open_interest
90006725.SZ,2025-12-11,0.175,11613.0,1786.24,3283.0
90006726.SZ,2025-12-11,0.2705,351.0,83.1888,615.0
90006727.SZ,2025-12-11,0.5129,46.0,22.4204,107.0
90006728.SZ,2025-12-11,0.7441,324.0,233.5737,486.0
90006729.SZ,2025-12-11,0.338,9.0,3.1176,48.0
90006730.SZ,2025-12-11,0.2518,119.0,31.3461,261.0
90006731.SZ,2025-12-11,0.1763,726.0,141.796,772.0
90006732.SZ,2025-12-11,0.1159,1423.0,185.1915,1791.0
90006733.SZ,2025-12-11,0.0696,1539.0,125.5678,1443.0
90006734.SZ,2025-12-11,0.0403,570.0,27.0583,1155.0
90006735.SZ,2025-12-11,0.0226,303.0,8.0377,1179.0
90006736.SZ,2025-12-11,0.0062,980.0,7.428,2334.0
90006737.SZ,2025-12-11,0.002,137.0,0.333,459.0
90006738.SZ,2025-12-11,0.0179,109.0,1.6177,453.0
90006739.SZ,2025-12-11,0.0301,41.0,1.1319,180.0
90006740.SZ,2025-12-11,0.055,61.0,3.1595,269.0
90006741.SZ,2025-12-11,0.0931,355.0,31.157,977.0
90006742.SZ,2025-12-11,0.1477,899.0,119.3602,994.0
90006743.SZ,2025-12-11,0.2161,437.0,88.7009,488.0
90006744.SZ,2025-12-11,0.2987,243.0,68.394,390.0
90006745.SZ,2025-12-11,0.525,5.0,2.625,39.0
90006749.SZ,2025-12-11,0.2629,1.0,0.2629,19.0
90006750.SZ,2025-12-11,0.1982,20.0,3.964,174.0
90006751.SZ,2025-12-11,0.1299,153.0,21.5766,368.0
90006752.SZ,2025-12-11,0.1114,3.0,0.3388,94.0
90006753.SZ,2025-12-11,0.0695,894.0,66.2113,2249.0
90006754.SZ,2025-12-11,0.032,339.0,11.8781,974.0
90006755.SZ,2025-12-11,0.0158,234.0,3.9966,632.0
90006756.SZ,2025-12-11,0.0561,145.0,7.3925,483.0
90006757.SZ,2025-12-11,0.0801,20.0,1.5799,94.0
90006758.SZ,2025-12-11,0.1029,4.0,0.4035,54.0
90006760.SZ,2025-12-11,0.215,143.0,29.6708,546.0
90006762.SZ,2025-12-11,0.3536,130.0,43.261,446.0
90006763.SZ,2025-12-11,0.5621,111.0,59.4394,417.0
90006764.SZ,2025-12-11,0.7947,90.0,68.89,403.0
90006765.SZ,2025-12-11,0.4313,5.0,2.1565,37.0
90006767.SZ,2025-12-11,0.2978,55.0,17.0687,111.0
